Source IP,Destination IP,Type,Record,Size (bytes),Domain,Time Stamp,Z-value
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:45.953665,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:46.413709,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:51.438217,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:51.912266,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:11:56.920770,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:11:57.405156,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:02.469574,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:02.929133,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:09.080817,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:09.561947,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:13.844271,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:14.499775,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:20.080618,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:20.581819,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:25.976845,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:26.445129,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:31.916277,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:32.400928,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:38.992310,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:39.486097,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:46.180235,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:46.671470,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:52.646908,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:53.165397,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:12:58.769834,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:12:59.248060,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:05.952192,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:06.432883,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:12.828567,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:13.699336,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:20.387009,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:20.853119,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:26.117750,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:26.611934,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:33.115908,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:33.577373,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:13:40.640403,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:13:41.125470,0
